GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
1500000US530330015001,530330015001,"Block Group 1, Census Tract 15, King County, Washington",522,54,0,12,0,12,9,14,0,12,7,12,19,22,23,35,9,14,17,19,50,33,27,28,94,42,56,37,66,38,42,31,103,46
1500000US530330015002,530330015002,"Block Group 2, Census Tract 15, King County, Washington",596,55,36,30,18,20,8,12,12,18,11,16,9,15,0,12,0,12,8,12,18,20,88,47,125,60,71,38,6,11,54,31,132,44
1500000US530330016001,530330016001,"Block Group 1, Census Tract 16, King County, Washington",650,80,16,18,32,41,0,12,17,19,0,12,8,13,0,12,9,14,0,12,8,12,34,22,30,21,109,84,37,28,70,36,280,71
1500000US530330016002,530330016002,"Block Group 2, Census Tract 16, King County, Washington",515,61,0,12,0,12,18,19,22,33,26,25,7,11,13,16,0,12,6,11,23,20,35,22,61,34,39,28,27,42,99,47,139,44
1500000US530330016003,530330016003,"Block Group 3, Census Tract 16, King County, Washington",693,96,27,25,13,20,49,52,8,12,8,14,40,47,24,20,9,14,16,18,111,62,61,47,70,40,60,31,56,44,48,35,93,42
1500000US530330017011,530330017011,"Block Group 1, Census Tract 17.01, King County, Washington",921,134,153,96,27,24,42,38,12,18,8,13,27,29,26,28,57,54,53,41,61,37,120,57,70,50,68,47,116,62,36,31,45,34
1500000US530330017012,530330017012,"Block Group 2, Census Tract 17.01, King County, Washington",558,100,47,37,32,51,0,12,12,18,11,17,12,19,53,41,9,14,22,24,11,18,74,52,76,47,59,47,72,56,34,29,34,33
1500000US530330017013,530330017013,"Block Group 3, Census Tract 17.01, King County, Washington",521,105,9,14,0,12,12,19,0,12,13,20,17,27,12,18,23,26,64,60,0,12,69,52,66,42,85,51,53,38,51,43,47,58
1500000US530330017021,530330017021,"Block Group 1, Census Tract 17.02, King County, Washington",1043,146,74,73,37,35,84,57,35,31,12,20,54,61,65,71,55,48,37,36,51,42,181,105,117,61,123,106,37,35,66,57,15,22
1500000US530330017022,530330017022,"Block Group 2, Census Tract 17.02, King County, Washington",546,98,36,42,66,72,0,12,9,17,0,12,13,20,48,55,0,12,10,15,72,71,26,30,86,59,12,19,43,45,90,60,35,36
1500000US530330017023,530330017023,"Block Group 3, Census Tract 17.02, King County, Washington",404,82,0,12,31,36,15,25,18,30,0,12,0,12,0,12,26,29,14,23,16,24,75,48,24,37,50,49,69,68,34,34,32,37
1500000US530330017024,530330017024,"Block Group 4, Census Tract 17.02, King County, Washington",281,65,12,20,12,19,10,17,0,12,0,12,8,14,0,12,0,12,13,23,0,12,50,38,67,41,19,30,56,46,0,12,34,40
1500000US530330018001,530330018001,"Block Group 1, Census Tract 18, King County, Washington",652,104,54,56,0,12,0,12,0,12,0,12,16,22,0,12,0,12,9,14,0,12,74,64,66,47,145,80,93,86,157,96,38,43
1500000US530330018002,530330018002,"Block Group 2, Census Tract 18, King County, Washington",695,137,13,25,38,37,67,83,12,19,0,12,27,41,0,12,0,12,52,50,52,42,30,33,83,56,95,69,119,88,64,47,43,43
1500000US530330018003,530330018003,"Block Group 3, Census Tract 18, King County, Washington",942,143,50,46,0,12,17,27,0,12,16,25,96,78,17,28,0,12,31,34,96,89,119,69,186,120,182,128,75,56,42,43,15,25
1500000US530330019001,530330019001,"Block Group 1, Census Tract 19, King County, Washington",1170,89,159,81,10,15,55,35,39,48,7,10,38,29,23,26,38,30,89,62,95,44,156,86,170,65,90,51,110,49,72,42,19,22
1500000US530330019002,530330019002,"Block Group 2, Census Tract 19, King County, Washington",606,73,10,15,15,17,15,16,13,17,0,12,9,13,10,16,22,25,16,17,34,28,68,37,117,65,38,31,14,16,114,49,111,48
1500000US530330019003,530330019003,"Block Group 3, Census Tract 19, King County, Washington",488,64,7,12,0,12,10,14,26,24,26,24,17,19,14,17,38,26,8,15,31,36,22,20,40,33,99,44,35,28,51,34,64,40
1500000US530330020001,530330020001,"Block Group 1, Census Tract 20, King County, Washington",841,87,38,32,26,28,56,52,38,28,37,41,12,18,12,18,57,67,14,15,24,27,32,28,101,49,87,55,37,27,117,46,153,73
1500000US530330020002,530330020002,"Block Group 2, Census Tract 20, King County, Washington",456,66,32,30,12,18,8,13,12,19,0,12,60,52,0,12,21,24,12,20,0,12,58,50,61,38,41,32,13,18,42,29,84,49
1500000US530330020003,530330020003,"Block Group 3, Census Tract 20, King County, Washington",371,53,12,18,13,18,0,12,0,12,0,12,12,18,20,24,0,12,8,11,26,26,10,15,86,45,44,30,48,31,76,48,16,17
1500000US530330021001,530330021001,"Block Group 1, Census Tract 21, King County, Washington",645,72,38,29,8,14,0,12,26,23,15,17,8,12,0,12,0,12,39,39,8,12,41,30,80,47,98,47,46,36,121,66,117,48
1500000US530330021002,530330021002,"Block Group 2, Census Tract 21, King County, Washington",442,90,10,15,45,46,0,12,0,12,38,48,0,12,8,13,0,12,20,23,21,23,38,36,65,44,34,41,29,27,83,45,51,48
1500000US530330021003,530330021003,"Block Group 3, Census Tract 21, King County, Washington",695,87,48,29,16,17,0,12,8,14,18,20,0,12,53,49,17,18,27,26,80,51,54,32,105,56,47,28,34,28,82,50,106,46
1500000US530330022001,530330022001,"Block Group 1, Census Tract 22, King County, Washington",636,83,0,12,14,23,0,12,13,20,26,29,12,20,46,43,25,29,0,12,66,70,44,40,54,39,15,23,13,23,85,47,223,92
1500000US530330022002,530330022002,"Block Group 2, Census Tract 22, King County, Washington",519,66,0,12,16,27,0,12,0,12,17,28,14,23,0,12,16,23,17,27,0,12,46,43,12,20,92,60,43,40,73,54,173,76
1500000US530330022003,530330022003,"Block Group 3, Census Tract 22, King County, Washington",598,83,0,12,13,22,15,24,16,24,0,12,0,12,46,34,15,24,30,34,30,33,17,26,40,38,71,68,74,52,29,26,202,90
1500000US530330022004,530330022004,"Block Group 4, Census Tract 22, King County, Washington",553,69,0,12,0,12,0,12,0,12,0,12,31,36,33,36,31,33,14,22,16,25,0,12,15,24,48,45,0,12,83,52,282,87
1500000US530330024001,530330024001,"Block Group 1, Census Tract 24, King County, Washington",428,50,8,12,0,12,8,13,24,37,15,17,7,10,16,18,32,22,8,12,0,12,8,13,50,33,44,32,51,33,23,21,134,53
1500000US530330024002,530330024002,"Block Group 2, Census Tract 24, King County, Washington",332,55,8,14,8,13,0,12,0,12,17,20,24,24,37,29,0,12,0,12,19,21,38,30,29,24,48,30,43,25,43,30,18,20
1500000US530330024003,530330024003,"Block Group 3, Census Tract 24, King County, Washington",549,58,18,20,0,12,0,12,0,12,16,19,8,13,7,10,16,19,8,13,53,31,47,31,44,31,66,45,51,48,96,54,119,41
1500000US530330025001,530330025001,"Block Group 1, Census Tract 25, King County, Washington",681,69,54,41,0,12,9,14,0,12,12,14,35,30,9,15,44,65,8,12,7,12,50,36,61,34,87,49,123,59,68,39,114,74
1500000US530330025002,530330025002,"Block Group 2, Census Tract 25, King County, Washington",630,76,34,26,36,25,26,23,8,14,8,12,15,17,16,19,27,24,0,12,9,14,23,22,55,37,128,70,53,36,88,48,104,51
1500000US530330026001,530330026001,"Block Group 1, Census Tract 26, King County, Washington",463,85,27,40,8,12,0,12,17,19,0,12,13,19,15,17,8,13,17,19,21,20,53,44,38,36,104,67,27,26,67,36,48,32
1500000US530330026002,530330026002,"Block Group 2, Census Tract 26, King County, Washington",600,74,21,30,26,40,0,12,26,20,0,12,0,12,0,12,8,12,0,12,56,61,71,39,37,30,89,47,74,38,91,42,101,51
1500000US530330026003,530330026003,"Block Group 3, Census Tract 26, King County, Washington",526,70,25,22,15,22,9,14,7,13,15,18,0,12,8,13,10,16,8,13,19,22,49,36,93,60,61,41,52,42,82,39,73,43
1500000US530330026004,530330026004,"Block Group 4, Census Tract 26, King County, Washington",346,60,0,12,9,13,14,16,0,12,9,14,0,12,19,20,0,12,0,12,28,25,46,43,39,31,53,34,10,16,38,29,81,40
1500000US530330027001,530330027001,"Block Group 1, Census Tract 27, King County, Washington",668,102,11,18,0,12,0,12,0,12,0,12,72,60,0,12,14,24,11,18,62,72,80,55,80,54,151,112,69,46,28,32,90,64
1500000US530330027002,530330027002,"Block Group 2, Census Tract 27, King County, Washington",696,117,36,57,29,46,0,12,18,30,0,12,0,12,21,26,0,12,13,21,28,32,0,12,22,26,113,89,43,38,118,80,255,119
1500000US530330027003,530330027003,"Block Group 3, Census Tract 27, King County, Washington",491,100,26,30,0,12,32,51,11,19,0,12,0,12,0,12,41,38,11,17,0,12,0,12,12,19,50,35,34,33,79,100,195,81
1500000US530330027004,530330027004,"Block Group 4, Census Tract 27, King County, Washington",607,98,30,46,0,12,0,12,11,17,0,12,42,36,21,23,10,17,11,18,91,63,25,30,75,55,43,40,51,46,78,55,119,72
1500000US530330028001,530330028001,"Block Group 1, Census Tract 28, King County, Washington",426,67,0,12,0,12,0,12,35,40,22,27,15,24,0,12,0,12,0,12,0,12,62,56,39,38,24,20,65,44,75,43,89,52
1500000US530330028002,530330028002,"Block Group 2, Census Tract 28, King County, Washington",509,89,0,12,0,12,22,26,31,34,0,12,0,12,0,12,0,12,0,12,56,53,36,42,42,48,85,63,123,70,74,58,40,36
1500000US530330028003,530330028003,"Block Group 3, Census Tract 28, King County, Washington",584,129,0,12,0,12,0,12,14,23,24,38,20,33,0,12,0,12,0,12,59,48,79,105,120,66,85,69,28,30,48,44,107,62
1500000US530330028004,530330028004,"Block Group 4, Census Tract 28, King County, Washington",660,102,20,28,50,75,0,12,21,35,31,37,8,14,22,36,45,44,0,12,0,12,64,59,44,45,10,16,72,48,107,82,166,72
1500000US530330029001,530330029001,"Block Group 1, Census Tract 29, King County, Washington",758,79,19,20,36,23,8,13,0,12,0,12,34,27,28,44,23,37,28,27,50,49,98,57,49,26,105,52,109,60,86,42,85,42
1500000US530330029002,530330029002,"Block Group 2, Census Tract 29, King County, Washington",657,75,16,19,35,43,9,14,24,22,14,13,9,15,0,12,10,15,26,18,24,32,75,47,86,42,40,29,60,37,104,44,125,55
1500000US530330029003,530330029003,"Block Group 3, Census Tract 29, King County, Washington",538,63,20,18,0,12,0,12,0,12,41,29,9,14,9,14,8,12,8,12,60,34,27,22,44,38,37,22,64,43,91,38,120,45
1500000US530330030001,530330030001,"Block Group 1, Census Tract 30, King County, Washington",708,91,25,31,31,39,0,12,36,41,10,16,57,48,18,29,0,12,23,36,59,51,28,32,113,70,116,71,29,33,32,28,131,71
1500000US530330030002,530330030002,"Block Group 2, Census Tract 30, King County, Washington",587,119,0,12,21,32,10,17,0,12,48,71,17,26,0,12,0,12,27,33,62,57,15,23,128,84,29,33,83,60,125,66,22,26
